"","twitter_ids"
"1","1440437845424947203"
"2","1440423098646347777"
"3","1471531072513089538"
"4","1471224574373158919"
"5","1470877956897751047"
"6","1468597971591864321"
"7","1468519595610976257"
"8","1468305792189317120"
"9","1468296520168624131"
"10","1468272031317823490"
"11","1468253568415244290"
"12","1466778780614250497"
"13","1466482896538058767"
"14","1466338582038290433"
"15","1462346779064782853"
"16","1462051173020708871"
"17","1462015627707785216"
"18","1462013880364843008"
"19","1461999227412832262"
"20","1461996012281729031"
"21","1461832753079623698"
"22","1461764248091205638"
"23","1461750673846984720"
"24","1461748752172126216"
"25","1461739661538304002"
"26","1461739509553545220"
"27","1461738178696650752"
"28","1461734858376589319"
"29","1461716893765705739"
"30","1461364278129135630"
"31","1460900385724502016"
"32","1457465646950797316"
"33","1455520106256244738"
"34","1455249360179146762"
"35","1454093672191045638"
"36","1454076150402146305"
"37","1454062565433257991"
"38","1453440541933379589"
"39","1450746421255278595"
"40","1450738795746369536"
"41","1450457359013326848"
"42","1450456565501337607"
"43","1447980106836815878"
"44","1447895953550323719"
"45","1447847219927949321"
"46","1445748144436826112"
"47","1445647996662603780"
"48","1444303293686104065"
"49","1443963255827963924"
"50","1443959226242637828"
"51","1471227046781198344"
"52","1467559877509885968"
"53","1465426922108862478"
"54","1465396201323433994"
"55","1465360542244167680"
"56","1464882479479902209"
"57","1464882127129006083"
"58","1461599544882388995"
"59","1456526546634747911"
"60","1442522290261045248"
"61","1441502669969952770"
"62","1439685167229046785"
"63","1445712460372070406"
"64","1470364089025183745"
"65","1468625971356086274"
"66","1468529640289488896"
"67","1468507256060850184"
"68","1466389687556349960"
"69","1466387366885609474"
"70","1465987810394005504"
"71","1465586649455280128"
"72","1465586342654578696"
"73","1463581058197336069"
"74","1461287836158730244"
"75","1460689934667456520"
"76","1457440832328450057"
"77","1456310474874793986"
"78","1455900280231444482"
"79","1455475986540240900"
"80","1455170184428367875"
"81","1455169974285357063"
"82","1455169107981225985"
"83","1453632637680115716"
"84","1450870359457161224"
"85","1450788708957962245"
"86","1450542306004815875"
"87","1450539143008817154"
"88","1450382467073028098"
"89","1450076400837349383"
"90","1447979020818305026"
"91","1445473602761945090"
"92","1445041576615587843"
"93","1445041331722760195"
"94","1442385038717308928"
"95","1440618276258680853"
"96","1470782777683550214"
