"";"twitter_ids"
"1";"720890749684957184"
"2";"697691576663932928"
"3";"697691078502322176"
"4";"697690436681469953"
"5";"697690182829658112"
"6";"697689751684567040"
"7";"697689563066732544"
"8";"652450321055240196"
"9";"651016070292226049"
"10";"646587762821476352"
"11";"637301104540303360"
"12";"637176714012041216"
"13";"635810610907860992"
"14";"634623984945000448"
"15";"634620370830655488"
"16";"633649908122304512"
"17";"633531177178124288"
"18";"633170396158795777"
"19";"632102179017490432"
"20";"631721788687425536"
"21";"631460837685899264"
"22";"631458669004222464"
"23";"628877559602806784"
"24";"628101199435276288"
"25";"627510964817145856"
"26";"627510748109910016"
"27";"627014575263715328"
"28";"625995224934916098"
"29";"625993377985753088"
"30";"625992479117082624"
"31";"625988842328297473"
"32";"625988276931964928"
"33";"625987111754313728"
"34";"692044441604001792"
"35";"460753139445297153"
"36";"434321980615979008"
"37";"405717891347005440"
"38";"404669679383236608"
"39";"403850732048101376"
"40";"268342859890040832"
"41";"268274546744913921"
"42";"268272402260185088"
"43";"268272343078559744"
"44";"268271646022971392"
"45";"264023202110504960"
"46";"733617738313306112"
"47";"729599110349762560"
"48";"727865745225465858"
"49";"712338219300425729"
"50";"711990860330749952"
"51";"706102060501114880"
"52";"704012213909102592"
"53";"703580560405430272"
"54";"702908201184919552"
"55";"702795271600807936"
"56";"702452947570049024"
"57";"701421354298568706"
"58";"700634760494784513"
"59";"699935120959148032"
"60";"698476728054841344"
"61";"697842552070914050"
"62";"697785929063383040"
"63";"696272202388410368"
"64";"695336046658084865"
"65";"694943481740050432"
"66";"693013229728047104"
"67";"692352690555326464"
"68";"691928592029237248"
"69";"691629150508060672"
"70";"691550628741566464"
"71";"691206399163011072"
"72";"690961696551243777"
"73";"690837687360688128"
"74";"690466511744561152"
"75";"690239602410545152"
"76";"690164512754946048"
"77";"690112879752822784"
"78";"689741684930908160"
"79";"689515300404985856"
"80";"689449658238676992"
"81";"689064519000309760"
"82";"688662094246465537"
"83";"687997979626704898"
"84";"687556043111591936"
"85";"686857719580635136"
"86";"686608535417958400"
"87";"685506258699419649"
"88";"685400581347917824"
"89";"685040898426671104"
"90";"684418984721182720"
"91";"684417977106743296"
"92";"684414934252404736"
"93";"1226073549754060800"
"94";"1124358901485449218"
"95";"1122578137777364994"
"96";"1120935181446205442"
"97";"1119876750740209664"
"98";"1118573089208578050"
"99";"1113851284644356096"
"100";"1112232198353104896"
"101";"1112069007501418501"
"102";"1105893365407727617"
"103";"1097831861588500480"
"104";"1095368890530648064"
"105";"1090673476220977155"
"106";"1076931107030003713"
"107";"1072917285067767809"
"108";"1071820975866560512"
"109";"1070626634565369857"
"110";"1070606776045895680"
"111";"1068902489590763520"
"112";"1066757353180155904"
"113";"1063853265123753992"
"114";"1062341583553683456"
"115";"1061009241975205898"
"116";"1060972533053296641"
"117";"1060230625066733568"
"118";"1056968948653219841"
"119";"1056606605335318528"
"120";"1056229118516363266"
"121";"1054747913694470145"
"122";"1053709019712577537"
"123";"1053379199917010944"
"124";"1052602665937641474"
"125";"1051514922260197382"
"126";"1049714653218136064"
"127";"1047213377662214145"
"128";"1046702478966886400"
"129";"1043911667288068097"
"130";"1042116381158912000"
"131";"1041763756773130241"
"132";"1041589590384095234"
"133";"1040272247657783296"
"134";"1040168411622514688"
"135";"1039470513276497920"
"136";"1039067447758864384"
"137";"1038842034734489611"
"138";"1037751057307394049"
"139";"1037723515422695424"
"140";"1017015824266268673"
"141";"1012032840207421441"
"142";"1011301906659016705"
"143";"1010223438957510656"
"144";"1008411468478537733"
"145";"1007553558621884416"
"146";"1007326826526597123"
"147";"1005870982039515136"
"148";"1001741901488447488"
"149";"1001524340087762950"
"150";"999711661127761920"
"151";"998625747429445632"
"152";"996684194704232448"
"153";"994624659122479104"
"154";"994264047309737984"
"155";"992687040553717762"
"156";"990999401618444289"
"157";"990659507595501569"
"158";"985903333864038402"
"159";"983034670458818560"
"160";"982252046647570432"
"161";"981974425737277442"
"162";"979069819495608320"
"163";"977104341973766144"
"164";"976518177621409793"
"165";"975076837297721349"
"166";"974563643655360512"
"167";"974173101494886400"
"168";"974040026681167873"
"169";"973982109240102912"
"170";"973967998066266112"
"171";"973596782155444224"
"172";"973497182505570304"
"173";"969686804214550528"
"174";"968812766315335681"
"175";"968578742191878144"
"176";"968043076160802819"
"177";"966024672444903427"
"178";"965284797005357061"
"179";"965160224045850624"
"180";"963819455833935873"
"181";"962788569621417987"
"182";"961231503404535808"
"183";"961180841849257984"
"184";"961158501585301504"
"185";"960951242485915657"
"186";"960576038454681600"
"187";"959143085312761857"
"188";"958779432046596096"
"189";"958725373352701954"
"190";"957358190517194752"
"191";"955149259724263424"
"192";"950068278839439364"
"193";"946472124595802112"
"194";"944299387940896769"
"195";"944277639413616641"
"196";"943088779870470144"
"197";"942851508319801350"
"198";"937758499106369537"
"199";"937627534480625664"
"200";"934152700035522562"
"201";"933070185145225217"
"202";"932672307532877825"
"203";"927263316900270080"
"204";"923621332390117376"
"205";"922877866358034433"
"206";"922360615909384192"
"207";"922174108393201668"
"208";"921755238390001665"
"209";"920670676633182208"
"210";"918743591417208832"
"211";"917449587979423744"
"212";"914199478332248064"
"213";"913659706908057600"
"214";"913474913574572033"
"215";"913474709597106177"
"216";"913474104841392128"
"217";"910919070475747328"
"218";"910022828623310848"
"219";"909842488378183681"
"220";"909473780254351360"
"221";"909469509366484994"
"222";"908744750894845952"
"223";"906960512054947841"
"224";"905849405550538758"
"225";"905483243050467329"
"226";"904415045626593282"
"227";"894821695084736512"
"228";"894258407720570884"
"229";"890868888535265280"
"230";"890607655936376832"
"231";"888815435860389888"
"232";"886601987789279237"
"233";"884135176724414464"
"234";"883037942779981825"
"235";"882670498164944896"
"236";"881949588327993344"
"237";"881609376032841730"
"238";"880846218498367492"
