"","twitter_ids"
"1","966605680428879872"
"2","962326282943033344"
"3","1307415432639508480"
"4","1346971990461132804"
"5","1346931765571682305"
"6","966605680428879872"
"7","962326282943033344"
"8","1307415432639508480"
"9","1346971990461132804"
"10","1346931765571682305"
"11","954437954050633729"
"12","954437954050633729"
"13","1145697924015374336"
"14","1144555814826446848"
"15","1144553243328098306"
"16","1144415442884337664"
"17","1144346600103456777"
"18","1144285465304010752"
"19","1143843774185058304"
"20","1143420074377863168"
"21","1143187483913609216"
"22","1143052023128084480"
"23","1143051425544593408"
"24","1141985160021327872"
"25","1141466317037428737"
"26","1141131476144181248"
"27","1139450205135429632"
"28","1138825086079774720"
"29","1138819886615015424"
"30","1138556533971869698"
"31","1138507418957168640"
"32","1138450111107932163"
"33","1138411973899628544"
"34","1138070587547496448"
"35","1137023275404603392"
"36","1136293687040847872"
"37","1135876032609890304"
"38","1135873803119202304"
"39","1135667823181803520"
"40","1135591347673534467"
"41","1134983084707909633"
"42","1134927070373580801"
"43","1134510829783650304"
"44","1134199840731271179"
"45","1134154081096916999"
"46","1133877574952787968"
"47","1133856996724285444"
"48","1133856874187689985"
"49","1133841304218198019"
"50","1133792572240015361"
"51","1133775912082841600"
"52","1133764640654147585"
"53","1133426408796172288"
"54","1133137254237507589"
"55","1132440342052126721"
"56","1132312047767687169"
"57","1132311637015355393"
"58","1132233415762354176"
"59","1132216334891278336"
"60","1132215376517980160"
"61","1132002840405315584"
"62","1131727427162583040"
"63","1131619097614213120"
"64","1131590388949635072"
"65","1131567602059350016"
"66","1131380146890575872"
"67","1131327584678088706"
"68","1131325438310178816"
"69","1131325202338598914"
"70","1131302769095303176"
"71","1130952633018142720"
"72","1130706754797486080"
"73","1130551421915541504"
"74","1130501419247820800"
"75","1130455162961768448"
"76","1130450669264097281"
"77","1130431233878560769"
"78","1129839704713703424"
"79","1129707868003938310"
"80","1129178897944326144"
"81","1129171868836159488"
"82","1129087637866864640"
"83","1129061855006199808"
"84","1128904222672605185"
"85","1128847000227725312"
"86","1128800706348167169"
"87","1128390560325210117"
"88","1128376605234147328"
"89","1128057415843373056"
"90","1128011716778971136"
"91","1128011350297448450"
"92","1128010073987526657"
"93","1128009421081047040"
"94","1128006245682696192"
"95","1128006211956355072"
"96","1127648740192473090"
"97","1127212834490847232"
"98","1126897751323807744"
"99","1126810623415934976"
"100","1126610621330538498"
"101","1126610170258313216"
"102","1126609800568111105"
"103","1126608791884247040"
"104","1126081018107256832"
"105","1125881347044777987"
"106","1125868319041626113"
"107","1125456009642881030"
"108","1124427570974531585"
"109","1123699036354220033"
