"";"twitter_ids"
"1";"1146124955689652224"
"2";"1141782976587534336"
"3";"1139128560013234177"
"4";"1137698983202185216"
"5";"1137413519304007680"
"6";"1137310917971062784"
"7";"1135311791540572162"
"8";"1134531061118066688"
"9";"1134365848360095744"
"10";"1134179809234477057"
"11";"1134091120089210883"
"12";"1132051205885190149"
"13";"1132009909569097729"
"14";"1131650917747634177"
"15";"1131503827239051264"
"16";"1131487593193975809"
"17";"1131307096455172096"
"18";"1131143043497811968"
"19";"1130111810919645185"
"20";"1129728778601684995"
"21";"1129132946147938314"
"22";"1129074900772245504"
"23";"1128757295624663043"
"24";"1128560506325884928"
"25";"1127876336993828864"
"26";"1127697459227054080"
"27";"1125886465827848192"
"28";"1125352537589260288"
"29";"1125049206903848960"
"30";"1124602626555957248"
"31";"1123975728171835392"
"32";"1123713008381960193"
"33";"1123526157742288896"
"34";"1123254105873555457"
"35";"1122468188602679296"
"36";"1122180077746311170"
"37";"1121083445227212801"
"38";"1120708014858747904"
"39";"1119566843209973760"
"40";"1119324069663473664"
"41";"1118548610130616322"
"42";"1118096574289195008"
"43";"1117754470643974144"
"44";"1117711082469167105"
"45";"1115531843942715392"
"46";"1113854396687900673"
"47";"1112319288302546945"
"48";"1110530540808167426"
"49";"1110246698901794818"
"50";"1110187213357223936"
"51";"1110141688469696513"
"52";"1110117516767121408"
"53";"1109212352954728448"
"54";"1108759116670029824"
"55";"1108490122754969601"
"56";"1107233731402715138"
"57";"1106615489537732609"
"58";"1106224321016578050"
"59";"1104745794048004096"
"60";"1104418875813384192"
"61";"1104368012021387264"
"62";"1103001312076156929"
"63";"1102540459547742214"
"64";"1101884381772292096"
"65";"1101133325551452160"
"66";"1100170750445654018"
"67";"1100016279048597504"
"68";"1099968619604262913"
"69";"1099360881211834368"
"70";"1099093301406453762"
"71";"1099072214358474754"
"72";"1098898725659987970"
"73";"1098185397174185985"
"74";"1097504091696259072"
"75";"1097230358402293760"
"76";"1096525821706162178"
"77";"1093080134243024896"
"78";"1092857576591638529"
"79";"1092537370195488768"
"80";"1092402631773958144"
"81";"1090740779864244225"
"82";"1089126534693224448"
"83";"1088013493826211840"
"84";"1083027204315975680"
"85";"1077631272044974080"
"86";"1076524008772898816"
"87";"1076088379517947904"
"88";"1074430321502900224"
"89";"1074262881817059329"
"90";"1070431512921804800"
"91";"1070074456318468101"
"92";"1067869879125065729"
"93";"1067864953422520321"
"94";"1067679902223278080"
"95";"1067557570511032320"
"96";"1067556521188429824"
"97";"1066348035280642048"
"98";"1065573162182684672"
"99";"1063559614120239104"
"100";"1063432018552328194"
"101";"1061739121742364672"
"102";"1060643499643731969"
"103";"1060641084395700224"
"104";"1060302324470632448"
"105";"1059414631066804225"
"106";"1058701211250188288"
"107";"1058415944450670593"
"108";"1058331737648967680"
"109";"1058320682860404742"
"110";"1058302961741455361"
"111";"1058087634495516672"
"112";"1058015222370316288"
"113";"1058014777732153344"
"114";"1057638301870374915"
"115";"1057340638180634624"
"116";"1057005875301355520"
