"";"twitter_ids"
"1";"1383027023866699776"
"2";"1383025686227644417"
"3";"1382716159175356417"
"4";"1382685674814513161"
"5";"1382607083242131458"
"6";"1382398712325009412"
"7";"1382393179878604803"
"8";"1382047862767419392"
"9";"1380828624073412610"
"10";"1380827384123957256"
"11";"1389800933354315778"
"12";"1388253527407988742"
"13";"1387846044273291272"
"14";"1386618097700937730"
"15";"1385975335372607501"
"16";"1385661618781044741"
"17";"1385660033254449155"
"18";"1384938350998704131"
"19";"1383470203418284033"
"20";"1401150608028143617"
"21";"1400109555711946758"
"22";"1398544425102495745"
"23";"1396076864318410753"
"24";"1395706220527431683"
"25";"1394333125724020738"
"26";"1394324304419074050"
"27";"1394320726690238469"
"28";"1409569177497636864"
"29";"1432976926382215168"
"30";"1449830488944873475"
"31";"1329077569375793155"
"32";"1329019538931904514"
"33";"1328756506406379521"
"34";"1342853944259829760"
"35";"1339970758601273346"
"36";"1337705495222771713"
"37";"1359143704401952768"
"38";"1356658280265834497"
"39";"1354374675342778369"
"40";"1351549595608875013"
"41";"1350584078958006272"
"42";"1349285036261048321"
"43";"1364497201939034116"
"44";"1359834074655977474"
"45";"1377181176918470657"
"46";"1372506838000881669"
"47";"1369973654617001984"
"48";"1369934353875230721"
"49";"1389567670509572101"
"50";"1389119766032523264"
"51";"1388411813734371328"
"52";"1387379205483155456"
"53";"1407333066180370438"
"54";"1403651175610728453"
"55";"1403647198282371073"
"56";"1403646810162356224"
"57";"1403640818364260354"
"58";"1403639890953359363"
"59";"1402920236895068160"
"60";"1402900069645524996"
"61";"1402641907981996036"
"62";"1401943327625433094"
"63";"1401489643904905216"
"64";"1401146059456495617"
"65";"1401076196079816704"
"66";"1399631712896925697"
"67";"1397559191577976834"
"68";"1397096926735122434"
"69";"1396800242444644352"
"70";"1396486215562575873"
"71";"1394738964402147328"
"72";"1394683482887139328"
"73";"1394336119056109571"
"74";"1394173957729886208"
"75";"1417838153864523776"
"76";"1417810715428245510"
"77";"1416002010793525253"
"78";"1415983573203628034"
"79";"1415233875580792833"
"80";"1413911796881272833"
"81";"1412784875464232963"
"82";"1412370819829973002"
"83";"1411611758817591296"
"84";"1409717662096105477"
"85";"1440760213129216005"
"86";"1438866347358920705"
"87";"1438857285594492937"
"88";"1438828504523681798"
"89";"1436245371907452934"
"90";"1436225924387770373"
"91";"1434766559730405378"
"92";"1431254683574747144"
"93";"1430852493861339143"
"94";"1429842862880010243"
"95";"1424699584736026626"
"96";"1423605374586916867"
"97";"1448979634343788559"
