"";"twitter_ids"
"1";"824251246252986370"
"2";"823609533624975360"
"3";"823547020283617283"
"4";"823519296500461570"
"5";"823082755445719040"
"6";"822422886677958656"
"7";"822165172848590848"
"8";"822106037612400640"
"9";"821840200343101440"
"10";"821804363496693761"
"11";"821671269213081600"
"12";"821316190530392064"
"13";"821313043242094592"
"14";"821311820862459904"
"15";"821309949674455040"
"16";"821308993662492672"
"17";"820650147336097792"
"18";"820529933290209283"
"19";"820523420270100481"
"20";"819970483856801792"
"21";"819868280974409728"
"22";"819606522867187713"
"23";"819259153768128513"
"24";"819256412962426880"
"25";"818086994572091392"
"26";"817720272161832960"
"27";"817483805758017539"
"28";"817327340061605889"
"29";"816951025852674048"
"30";"816646636873072640"
"31";"816374881688371200"
"32";"815936163383050240"
"33";"815240632474234880"
"34";"815207191988801537"
"35";"813653027727020032"
"36";"812955861635239936"
"37";"811564261096964096"
"38";"811525923619172352"
"39";"809355820723011584"
"40";"804955802192740352"
"41";"804230877064609792"
"42";"803514812038807552"
"43";"803282967262961664"
"44";"800037738376523776"
"45";"800033385871708161"
"46";"800022418265772033"
"47";"799061694467162114"
"48";"798441737500889088"
"49";"798200330987180032"
"50";"796923837854187521"
"51";"796715184643600384"
"52";"796341038214475776"
"53";"796319487352041472"
"54";"796076290386305026"
"55";"794951906061942788"
"56";"794621400703176704"
"57";"794564204086824960"
"58";"794172500263522304"
"59";"793831073029451777"
"60";"793803855893004289"
"61";"793758966866116608"
"62";"793722519643717632"
"63";"792969366488903680"
"64";"792670105679327232"
"65";"792587262609461248"
"66";"792397584413392896"
"67";"791602008994226177"
"68";"790870887914405888"
"69";"790576955590582273"
"70";"790012225411018752"
"71";"790004907768156164"
"72";"789955158566461446"
"73";"789952708061126656"
"74";"789940436408369152"
"75";"789909372864520193"
"76";"789501891050893314"
"77";"789384191821570048"
"78";"789171650679844865"
"79";"789136087616749568"
"80";"787328607731548164"
"81";"786925449637142528"
"82";"786649300549926912"
"83";"786622159623979008"
"84";"786240881091284993"
"85";"785436696187994112"
"86";"785073514193756161"
"87";"784773250115043328"
"88";"784455073753604097"
"89";"784438670703095808"
"90";"784170976326148096"
"91";"780091316269150208"
"92";"780024986677501952"
"93";"780000403945426945"
"94";"779998504747794433"
"95";"778661858127519744"
"96";"778635973299150848"
"97";"777529276388212736"
"98";"777499062408994816"
"99";"776809411905982465"
"100";"776373844789587968"
"101";"774925710058065920"
"102";"774920997598208000"
"103";"774634686714900480"
"104";"774550718430711808"
"105";"774357365609078784"
"106";"774354329033662465"
"107";"772356052402790400"
"108";"771803518080516100"
"109";"771386921104932864"
"110";"770906951429554176"
"111";"768823910636875776"
"112";"768730061310664705"
"113";"768581716390936578"
"114";"768385955145347073"
"115";"768067721091227648"
"116";"767484121836912644"
"117";"767346538746114048"
"118";"766889733020614656"
"119";"766417895228317697"
"120";"765962133238583296"
"121";"765863773789941764"
"122";"765831398221643776"
"123";"765610551577894914"
"124";"765138179271823360"
"125";"764739131322802176"
"126";"764378003950473220"
"127";"763689622346010624"
"128";"763018595500687360"
"129";"756150952793608192"
"130";"756137751750344704"
"131";"755533281840488452"
"132";"755354615516913664"
"133";"755328576300474368"
"134";"754841353935347712"
"135";"754718097270079489"
"136";"752079734167699460"
"137";"752075021913382912"
"138";"751694449093275648"
"139";"751686029535477760"
"140";"750783159449509888"
"141";"750601922349002753"
"142";"750342557834551296"
"143";"750310331214422016"
"144";"748948601037086722"
"145";"748947511029690368"
"146";"748555288987439104"
"147";"748405745847271424"
"148";"748208183458598913"
"149";"747869265638858757"
"150";"747736104246325248"
"151";"747007412964564994"
"152";"746240684328386560"
"153";"745943222292144128"
"154";"745707460619558912"
