"";"twitter_ids"
"1";"1007195741188775936"
"2";"996443349967130624"
"3";"968558520936423424"
"4";"968555004297732096"
"5";"955876004500856832"
"6";"933044112865071104"
"7";"933041263158362113"
"8";"933038765249097730"
"9";"905117231742410753"
"10";"836640761735184386"
"11";"809133094859141120"
"12";"809129156151824385"
"13";"809123649152315392"
"14";"796449564890906625"
"15";"796442290189434882"
"16";"796440986071109633"
"17";"791958407775264768"
"18";"781213455814631424"
"19";"781211538476720130"
"20";"779399951210209281"
"21";"779394136034148352"
"22";"777805318294269952"
"23";"777795027300999168"
"24";"770224163390881792"
"25";"770223985816723456"
"26";"730477261497978880"
"27";"730472515588521985"
"28";"722861698047164419"
"29";"720325416175607810"
"30";"710200548646100992"
"31";"710195257573507072"
"32";"700744935234887680"
"33";"697511041949941760"
"34";"684452502616588288"
"35";"679406389677133824"
"36";"667076990009278464"
"37";"667073684859961344"
"38";"666232901261008896"
"39";"659468907124801536"
"40";"659465842913079296"
"41";"659465307631833088"
"42";"659461537204076544"
"43";"659460229889966080"
"44";"651256028852568064"
"45";"651250809062195200"
"46";"644431306311532544"
"47";"639312610752638977"
"48";"608519413583753216"
"49";"603541865498071041"
"50";"596630919525597184"
"51";"1100871933908959232"
"52";"1096981931642814464"
"53";"1095653787572887552"
"54";"1085664266399727616"
"55";"1082952288895991808"
"56";"1079798676795604994"
"57";"1078354589798285312"
"58";"1074091288792891392"
"59";"1073890567745093632"
"60";"1073489595281670150"
"61";"1073466861826830336"
"62";"1072777707300290560"
"63";"1072560734557618182"
"64";"1072263578760200192"
"65";"1072131565235433472"
"66";"1071706499733438464"
"67";"1070685521339400193"
"68";"1069730370831167489"
"69";"1069729470364438530"
"70";"1069725019587129350"
"71";"1068820553031655424"
"72";"1068278670362587142"
"73";"1067912114466103296"
"74";"1066080368925782018"
"75";"1066017346131767299"
"76";"1065790029212106752"
"77";"1065756232147972098"
"78";"1065318025258250240"
"79";"1064891300602880020"
"80";"1064483633208152066"
"81";"1063920150485835779"
"82";"1063768547686522881"
"83";"1063395690813054976"
"84";"1062446262367203328"
"85";"1062381867691851778"
"86";"1062003714263789568"
"87";"1062000275119108096"
"88";"1061991624903929856"
"89";"1061977000896798721"
"90";"1061962114640809984"
"91";"1061953112099954688"
"92";"1061941778180460544"
"93";"1061902779097190400"
"94";"1061713445387714562"
"95";"1061650054254116865"
"96";"1060883952611852293"
"97";"1060883815885955078"
